0.15674,1.54
0.17856,83.85
0.20366,136.92
0.23189,196.15
0.25373,275.38
0.27091,330.77
0.27245,336.83
0.27249,337
0.27548,376.92
0.27636,347.31
0.2764,347.59
0.28027,366.8
0.28031,366.97
0.28419,396.05
0.28422,396.21
0.2881,415.43
0.28813,415.58
0.29108,433.08
0.29204,430.91
0.29408,476.92
0.32239,515.38
0.351,472.31
0.36853,432.31
0.37181,400
0.39894,329.23
0.41176,281.54
0.42615,239.23
0.44993,220
0.47215,193.08
0.50066,176.92
0.52755,173.85
0.56228,184.62
0.59159,200.28
0.60014,205.38
0.62537,222.31
0.65918,231.29
0.67588,239.23
0.69634,263.08
0.74058,269.23
0.77067,252.31
0.79601,238.46
0.83403,216.92
0.84514,202.31
0.87832,206.92
0.9147,199.23
0.95421,200.77
0.97319,197.69
1.01265,213.08
1.03006,206.92
1.08862,184.62
1.11346,169.26
1.14403,162.31
1.18673,155.38
1.18919,155.7
1.26107,141.54
1.29276,149.88
1.32428,146.15
1.3764,149.88
1.38433,148.46
1.4523,146.92
1.45606,147.3
1.48867,143.08
1.53173,151.82
1.53764,152.31
1.59775,137.69
1.61825,150.77
1.64726,146
1.68467,143.08
1.7163,136.92
1.73491,138.25
1.76847,133.85
1.82854,132.31
1.8305,132.57
1.86014,136.15
1.9091,146.92
1.93447,126.15
1.96605,134.62
